Web Search interest: dolar; colombia stock exchange; ecopetrol; precio dolar; bolsa de valores colombia
Colombia; 2004 - present

Interest over time
Week,dolar,colombia stock exchange,ecopetrol,precio dolar,bolsa de valores colombia
2012-09-16 - 2012-09-22,12,0,8,3,1
2012-09-23 - 2012-09-29,10,0,15,2,2
2012-09-30 - 2012-10-06,11,0,37,3,1
2012-10-07 - 2012-10-13,10,0,10,3,1
2012-10-14 - 2012-10-20,10,0,10,3,2
2012-10-21 - 2012-10-27,11,0,9,2,2
2012-10-28 - 2012-11-03,11,0,9,3,2
2012-11-04 - 2012-11-10,11,0,8,3,2
2012-11-11 - 2012-11-17,11,0,8,3,2
2012-11-18 - 2012-11-24,12,0,8,3,2
2012-11-25 - 2012-12-01,12,0,8,3,1
2012-12-02 - 2012-12-08,11,0,7,3,1
2012-12-09 - 2012-12-15,12,0,7,3,1
2012-12-16 - 2012-12-22,12,0,7,3,1
2012-12-23 - 2012-12-29,11,0,6,3,1
2012-12-30 - 2013-01-05,13,0,7,3,1
2013-01-06 - 2013-01-12,14,0,9,3,1
2013-01-13 - 2013-01-19,14,0,10,4,1
2013-01-20 - 2013-01-26,12,0,9,3,1
2013-01-27 - 2013-02-02,12,0,9,3,1
2013-02-03 - 2013-02-09,13,0,8,3,1
2013-02-10 - 2013-02-16,12,0,8,3,1
2013-02-17 - 2013-02-23,13,0,10,3,1
2013-02-24 - 2013-03-02,13,0,9,3,1
2013-03-03 - 2013-03-09,12,0,9,3,1
2013-03-10 - 2013-03-16,11,0,10,3,1
2013-03-17 - 2013-03-23,10,0,12,2,1
2013-03-24 - 2013-03-30,10,0,7,2,1
2013-03-31 - 2013-04-06,12,0,10,3,1
2013-04-07 - 2013-04-13,11,0,11,2,1
2013-04-14 - 2013-04-20,10,0,12,2,1
2013-04-21 - 2013-04-27,11,0,10,3,1
2013-04-28 - 2013-05-04,10,0,9,2,1
2013-05-05 - 2013-05-11,10,0,9,2,1
2013-05-12 - 2013-05-18,10,0,8,3,1
2013-05-19 - 2013-05-25,11,0,9,2,1
2013-05-26 - 2013-06-01,13,0,9,3,1
2013-06-02 - 2013-06-08,13,0,7,3,1
2013-06-09 - 2013-06-15,13,0,7,3,1
2013-06-16 - 2013-06-22,15,0,8,4,1
2013-06-23 - 2013-06-29,15,0,8,4,1
2013-06-30 - 2013-07-06,14,0,8,3,1
2013-07-07 - 2013-07-13,13,0,8,3,1
2013-07-14 - 2013-07-20,14,0,8,4,1
2013-07-21 - 2013-07-27,13,0,9,4,1
2013-07-28 - 2013-08-03,13,0,9,3,1
2013-08-04 - 2013-08-10,12,0,9,3,1
2013-08-11 - 2013-08-17,12,0,9,3,1
2013-08-18 - 2013-08-24,13,0,8,3,1
2013-08-25 - 2013-08-31,12,0,8,3,1
2013-09-01 - 2013-09-07,13,0,7,3,1
2013-09-08 - 2013-09-14,13,0,7,3,1
2013-09-15 - 2013-09-21,13,0,8,3,1
2013-09-22 - 2013-09-28,13,0,7,3,1
2013-09-29 - 2013-10-05,13,0,7,3,1
2013-10-06 - 2013-10-12,13,0,7,4,1
2013-10-13 - 2013-10-19,11,0,7,2,1
